date,ph,ResultMeasure/MeasureUnitCode,lat,long,MonitoringLocationIdentifier
2011-04-12,34.2,ppth,27.4505833,-80.3253888,21FLWPB_WQX-21042457
2011-08-10,34.91,ppth,27.4505833,-80.3253888,21FLWPB_WQX-21042457
2011-06-20,37.34,ppth,27.4505833,-80.3253888,21FLWPB_WQX-21042457
2011-02-08,35.72,ppth,27.4505833,-80.3253888,21FLWPB_WQX-21042457
2011-02-08,35.74,ppth,27.4505833,-80.3253888,21FLWPB_WQX-21042457
2011-05-24,33.14,ppth,27.4505833,-80.3253888,21FLWPB_WQX-21042457
2013-11-19,34.18,ppth,27.4729167,-80.3384167,21FLWPB_WQX-27020557
2005-01-31,35.4,ppth      ,27.4793333,-80.3125,21FLSEAS-70SEAS040
2005-01-31,34.6,ppth      ,27.5055,-80.334,21FLSEAS-70SEAS090
2005-01-31,35.3,ppth      ,27.484,-80.312,21FLSEAS-70SEAS060
2005-09-11,33.6,ppth      ,27.47,-80.29,21FLMRC-IR3710
2005-12-24,34,ppth      ,27.47,-80.29,21FLMRC-IR3710
2005-01-31,33.5,ppth      ,27.5351666,-80.337666,21FLSEAS-70SEAS140
2005-01-31,32.6,ppth      ,27.5468333,-80.352,21FLSEAS-70SEAS161
2005-10-06,31.3,ppth      ,27.484,-80.312,21FLSEAS-70SEAS060
2005-09-05,32.1,ppth      ,27.44,-80.31,21FLMRC-IR3721
2005-10-06,31.8,ppth      ,27.4793333,-80.3125,21FLSEAS-70SEAS040
2005-10-06,33.2,ppth      ,27.4793333,-80.3125,21FLSEAS-70SEAS040
2005-01-31,34,ppth      ,27.5345,-80.343833,21FLSEAS-70SEAS130
2005-01-31,32.6,ppth      ,27.5468333,-80.352,21FLSEAS-70SEAS161
2005-01-31,34.5,ppth      ,27.5093333,-80.3245,21FLSEAS-70SEAS307
2005-01-31,33.9,ppth      ,27.5205,-80.338,21FLSEAS-70SEAS305
2005-04-27,32.1,ppth      ,27.5098333,-80.342,21FLSEAS-70SEAS091
2005-04-27,30.7,ppth      ,27.5345,-80.343833,21FLSEAS-70SEAS130
2005-04-27,31,ppth      ,27.5275,-80.346833,21FLSEAS-70SEAS122
2005-01-31,34.1,ppth      ,27.5278333,-80.327666,21FLSEAS-70SEAS123
2013-11-19,34.06,ppth,27.4729167,-80.3384167,21FLWPB_WQX-27020557
2005-01-16,35.8,ppth      ,27.42,-80.31,21FLMRC-IR3731
2005-04-27,33.6,ppth      ,27.5345,-80.343833,21FLSEAS-70SEAS030
2005-04-27,31.1,ppth      ,27.5205,-80.338,21FLSEAS-70SEAS305
2005-04-27,34.6,ppth      ,27.484,-80.312,21FLSEAS-70SEAS060
2005-05-26,32.6,ppth      ,27.5345,-80.343833,21FLSEAS-70SEAS130
2005-05-26,33,ppth      ,27.5345,-80.343833,21FLSEAS-70SEAS130
2004-07-11,43.2,ppth      ,27.42,-80.31,21FLMRC-IR3731
2004-03-30,32.6,ppth      ,27.5205,-80.338,21FLSEAS-70SEAS305
2004-06-27,42.2,ppth      ,27.42,-80.31,21FLMRC-IR3731
2004-06-06,41.2,ppth      ,27.42,-80.31,21FLMRC-IR3731
