Measurements,lat,long,Type,Date
68.74324,28.0138888,-80.745,Canal,2009-10-15
100.9857,28.0138888,-80.745,Canal,2009-10-30
143.2703,28.0138888,-80.745,Canal,2009-12-16
89.99653,28.0138888,-80.745,Canal,2011-01-27
126.7946,28.0138888,-80.745,Canal,2011-03-22
107.1867,28.0138888,-80.745,Canal,2011-06-03
40.86332,28.0138888,-80.736944,Canal,2009-06-25
83.9958,28.0138888,-80.736944,Canal,2009-08-24
112.038,28.0138888,-80.736944,Canal,2009-10-30
99.73258,28.0138888,-80.736944,Canal,2010-01-07
129.0129,28.0138888,-80.736944,Canal,2011-03-01
97.88735,28.0138888,-80.736944,Canal,2011-06-03
109.0058,28.0138888,-80.736944,Canal,2011-06-21
51.73677,28.0135417,-80.6966083,Canal,2011-03-01
48.77718,28.0130555,-80.645555,Canal,2009-05-21
44.85789,28.0130555,-80.645555,Canal,2010-01-13
45.026,28.0130555,-80.645555,Canal,2011-03-07
44.57178,28.0130555,-80.645555,Canal,2011-04-05
45.78835,28.0130555,-80.645555,Canal,2011-06-03
67.22349,28.0130555,-80.645555,Canal,2011-06-22
52.27092,28.0133333,-80.753333,Canal,2009-08-24
75.47041,28.0133333,-80.753333,Canal,2011-01-27
77.82381,28.0133333,-80.753333,Canal,2011-01-27
76.1513,28.0133333,-80.753333,Canal,2012-01-27
60.94443,28.0133333,-80.753333,Canal,2013-04-02
61.82783,28.0133333,-80.753333,Canal,2013-04-16
58.78069,28.0133333,-80.753333,Canal,2013-07-31
59.8029,28.0133333,-80.753333,Canal,2013-09-25
65.60749,28.063611,-80.753055,Canal,2009-02-17
55.23309,28.063611,-80.753055,Canal,2009-05-21
61.70968,28.063611,-80.753055,Canal,2009-08-07
52.05669,28.063611,-80.753055,Canal,2009-08-24
42.34713,28.063611,-80.753055,Canal,2009-10-19
72.00973,28.063611,-80.753055,Canal,2011-01-27
69.52237,28.063611,-80.753055,Canal,2011-04-05
67.95035,28.063611,-80.753055,Canal,2011-06-03
71.21412,28.063611,-80.753055,Canal,2011-06-03
72.57205,28.063611,-80.753055,Canal,2011-06-21
61.28985,28.063611,-80.753055,Canal,2012-01-30
64.4737,28.063611,-80.753055,Canal,2013-04-02
55.50891,28.063611,-80.753055,Canal,2013-09-16
42.63543,28.0061111,-80.662777,Canal,2009-12-16
42.83629,28.0061111,-80.662777,Canal,2010-01-13
40.27133,28.0061111,-80.662777,Canal,2011-03-07
40.0318,28.0061111,-80.662777,Canal,2011-06-03
51.76776,28.0061111,-80.662777,Canal,2011-06-22
41.84703,28.0061111,-80.662777,Canal,2009-04-02
46.49661,28.0061111,-80.662777,Canal,2009-06-12
35.83962,28.0061111,-80.662777,Canal,2009-08-24
43.23842,28.0061111,-80.662777,Canal,2011-01-27
44.65234,28.0061111,-80.662777,Canal,2011-03-22
34.39718,28.0061111,-80.662777,Canal,2011-04-05
45.68054,28.0061111,-80.662777,Canal,2011-06-03
45.24394,28.0061111,-80.662777,Canal,2011-06-03
42.93002,28.0061111,-80.662777,Canal,2011-06-22
48.18611,28.0061111,-80.662777,Canal,2009-05-21
38.77988,28.0061111,-80.662777,Canal,2009-06-12
47.29616,28.0061111,-80.662777,Canal,2011-06-03
48.10001,28.0061111,-80.662777,Canal,2011-01-27
44.86289,28.0061111,-80.662777,Canal,2011-06-03
45.44305,28.0061111,-80.662777,Canal,2011-06-21
40.62746,27.9161111,-80.671666,Canal,2009-03-18
46.87164,27.9161111,-80.671666,Canal,2009-10-30
37.60065,27.9161111,-80.671666,Canal,2011-04-05
